Anime,Genres,Rating
Zoku_Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",8.45
Fruits_Basket__Prelude,"['Drama', 'Romance', 'Shoujo']",8.45
Golden_Kamuy_3rd_Season,"['Action', 'Adventure', 'Adult Cast', 'Historical', 'Military', 'Seinen']",8.45
Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']",8.45
Owarimonogatari,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",8.45
Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel']",8.45
Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,"['Drama', 'Sci-Fi']",8.45
Mo_Dao_Zu_Shi,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Historical', 'Mythology', 'Reincarnation']",8.44
Haikyuu,"['Sports', 'School', 'Team Sports', 'Shounen']",8.44
JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,"['Action', 'Adventure', 'Supernatural', 'Shounen']",8.44
Gintama__Yorinuki_Gintama-san_on_Theater_2D,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.43
Grand_Blue,"['Comedy', 'Adult Cast', 'Seinen']",8.43
Karakai_Jouzu_no_Takagi-san_3,"['Comedy', 'Iyashikei', 'Romantic Subtext', 'School', 'Shounen']",8.43
Kono_Oto_Tomare_Part_2,"['Drama', 'Romance', 'Music', 'Performing Arts', 'School', 'Shounen']",8.43
Mononoke,"['Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Adult Cast', 'Historical', 'Mythology', 'Psychological']",8.43
Mushishi_Zoku_Shou__Odoro_no_Michi,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.43
Saenai_Heroine_no_Sodatekata_Fine,"['Comedy', 'Romance', 'Harem', 'Otaku Culture', 'School']",8.43
Suzume_no_Tojimari,"['Adventure', 'Fantasy', 'Mythology']",8.43
Koukaku_Kidoutai__Stand_Alone_Complex,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Detective', 'Mecha', 'Military', 'Seinen']",8.42
Mo_Dao_Zu_Shi__Xian_Yun_Pian,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Historical', 'Mythology', 'Reincarnation']",8.42
Saiki_Kusuo_no_Ψ-nan,"['Comedy', 'Supernatural', 'Gag Humor', 'School', 'Super Power', 'Shounen']",8.42
Saiki_Kusuo_no_Ψ-nan_2,"['Comedy', 'Supernatural', 'Gag Humor', 'School', 'Super Power', 'Shounen']",8.42
Tian_Guan_Ci_Fu_Special,"['Drama', 'Supernatural', 'Historical']",8.42
Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou,"['Drama', 'Fantasy']",8.41
Vivy__Fluorite_Eyes_Song,"['Action', 'Sci-Fi', 'Suspense', 'Music', 'Time Travel']",8.41
Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.41
Shingeki_no_Kyojin__Kuinaki_Sentaku,['Action'],8.41
Hunter_x_Hunter,"['Action', 'Adventure', 'Fantasy', 'Shounen']",8.41
Josee_to_Tora_to_Sakana-tachi,"['Drama', 'Romance', 'Visual Arts']",8.41
Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']",8.41
Gintama°__Aizome_Kaori-hen,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",8.40
Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go,"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",8.40
Wu_Liuqi__Xuanwu_Guo_Pian,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery', 'Martial Arts', 'Super Power']",8.40
Major_S5,"['Sports', 'Team Sports', 'Shounen']",8.40
Natsume_Yuujinchou_Roku_Specials,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.40
Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,"['Drama', 'Fantasy']",8.40
Kaze_ga_Tsuyoku_Fuiteiru,"['Drama', 'Sports', 'Adult Cast']",8.39
Kimetsu_no_Yaiba__Mugen_Ressha-hen,"['Action', 'Fantasy', 'Historical', 'Shounen']",8.39
